experiment,eta,s,train,train_sd,test,test_sd,d_train,t_train,d_test,t_test,U,proj,nonfinite
magic_lp,3e-06,0.25,0.783029705573081,0.0011546030811746377,0.7838065194532071,0.0014422814786676354,-2.3659305993687374e-05,-0.5620843124514616,-6.0462670872765135e-05,-0.9778451773037183,7559.094468842599,0.0,0
magic_lp,3e-06,1,0.7829994742376448,0.001295492395113452,0.7836409043112513,0.0014521476883809757,-5.389064143007549e-05,-0.667490524420931,-0.00022607781282860007,-2.12333093806756,7559.231353855899,0.0,0
magic_lp,3e-06,2,0.7828962933753943,0.001353146816980702,0.7834989484752891,0.0014683054147142383,-0.00015707150368033719,-1.4244036165461484,-0.0003680336487907443,-3.0097879542273014,7559.0855161675745,0.0,0
magic_lp,3e-06,5,0.7780290483701365,0.027733148584356732,0.7786303890641431,0.02820614165759318,-0.005024316508937963,-1.7975762578582692,-0.005236593059936906,-1.8438462641908153,7726.679973298533,0.01968,0
magic_lp,1e-06,reversible,0.7808510778128286,0.001893527442904551,0.7809989484752892,0.0024446307713488604,0.0,0.0,0.0,0.0,7591.283641209414,0.0,0
magic_lp,1e-06,0,0.7808510778128286,0.001893527442904551,0.7809989484752892,0.0024446307713488604,0.0,0.0,0.0,0.0,7591.283641209414,0.0,0
magic_lp,1e-06,0.25,0.7810364090431124,0.0018270909261728842,0.7811487907465825,0.002378875497510882,0.00018533123028390718,3.30978767686604,0.00014984227129337445,1.4891282044729017,7590.700373249478,0.0,0
magic_lp,1e-06,1,0.7812315983175604,0.0018988268341005852,0.7810883280757099,0.0024727209446155983,0.0003805205047318505,4.192425745964666,8.937960042060934e-05,0.6004307875021954,7589.372264794904,0.0,0
magic_lp,1e-06,2,0.7812125394321767,0.0020664954425388257,0.7813932702418507,0.002711727043959674,0.0003614616193480502,3.1440888351109972,0.00039432176656151174,2.123681301823533,7587.7287760523695,0.0,0
magic_lp,1e-06,5,0.7810758412197687,0.0020938470135587403,0.7810751840168243,0.002528184583028218,0.0002247634069400517,1.2352861311214558,7.623554153522449e-05,0.33401871758396007,7585.999274901453,0.0,0
titanic_ball,0.0001,reversible,0.798370786516854,0.011445595618402086,0.8071508379888267,0.01332196047251558,0.0,0.0,0.0,0.0,383.2764428156095,0.2763466666666667,0
titanic_ball,0.0001,0,0.798370786516854,0.011445595618402086,0.8071508379888267,0.01332196047251558,0.0,0.0,0.0,0.0,383.2764428156095,0.2763466666666667,0
titanic_ball,0.0001,0.25,0.798370786516854,0.01161837848383269,0.8070391061452514,0.01378575012255502,-5.551115123125783e-18,-1.8621317100514353e-14,-0.00011173184357541999,-0.2198095808425146,383.24842076615744,0.27738,0
titanic_ball,0.0001,1,0.7978792134831462,0.011779794512917326,0.8062569832402237,0.01431218224783066,-0.000491573033707865,-0.7962630009595848,-0.0008938547486033476,-1.0464497284726701,383.2220481891748,0.2791666666666667,0
titanic_ball,0.0001,2,0.7985674157303371,0.011474909154209033,0.8052513966480446,0.014403084830071097,0.00019662921348313932,0.23044059313342735,-0.0018994413407821186,-1.6698277529990009,383.42228750125355,0.28002,0
titanic_ball,0.0001,5,0.7976685393258428,0.011534902024715674,0.8034078212290503,0.014548452683213716,-0.0007022471910112437,-0.6381796969930295,-0.0037430167597765373,-2.4085010190225313,383.820463285789,0.28284,0
titanic_ball,3e-05,reversible,0.7985674157303371,0.010259268755109843,0.8054189944134079,0.011991242027871194,0.0,0.0,0.0,0.0,383.97351023973454,0.09637333333333334,0
titanic_ball,3e-05,0,0.7985674157303371,0.010259268755109843,0.8054189944134079,0.011991242027871194,0.0,0.0,0.0,0.0,383.97351023973454,0.09637333333333334,0
titanic_ball,3e-05,0.25,0.7977668539325843,0.010927584805042181,0.8050279329608938,0.012029171439641448,-0.0008005617977528056,-2.362049695411741,-0.00039106145251395995,-0.6192317407713693,383.8417707651386,0.09735333333333333,0
titanic_ball,3e-05,1,0.7984129213483148,0.011409214538621799,0.8062011173184358,0.01122090705625087,-0.00015449438202246756,-0.22704494821372237,0.0007821229050279377,0.8774268044544011,383.6852261893051,0.10254666666666666,0
titanic_ball,3e-05,2,0.7985674157303371,0.009973678311728877,0.8064804469273743,0.01173788811370215,7.771561172376097e-18,8.90554534671938e-15,0.001061452513966491,0.9298035818858735,383.7151909075014,0.10586666666666666,0
titanic_ball,3e-05,5,0.7987780898876405,0.011189494725385576,0.805977653631285,0.01247571180106948,0.00021067415730337434,0.19687823355578407,0.0005586592178770988,0.39484872015877925,383.7178787785784,0.10830666666666666,0
titanic_ball,1e-05,reversible,0.7646207865168542,0.024699727727357495,0.7702234636871507,0.03546322802558959,0.0,0.0,0.0,0.0,400.0559776382082,0.00206,0
titanic_ball,1e-05,0,0.7646207865168542,0.024699727727357495,0.7702234636871507,0.03546322802558959,0.0,0.0,0.0,0.0,400.0559776382082,0.00206,0
titanic_ball,1e-05,0.25,0.7657022471910114,0.025491546653258795,0.770167597765363,0.03463905583527292,0.0010814606741573096,1.466929439880793,-5.5865921787706665e-05,-0.045750054718135626,399.77118805135086,0.0021533333333333335,0
titanic_ball,1e-05,1,0.7666432584269662,0.02705238024137265,0.7722346368715084,0.03487338947523891,0.002022471910112358,1.2299286681900616,0.002011173184357544,0.7316147580456324,398.95582185281864,0.00226,0
