experiment,dataset,geometry,h,s,s_tuple,method,sel_train_acc,final_train_acc,final_train_sd,final_test_acc,final_test_sd,paired_dtrain,paired_dtrain_se,paired_dtest,paired_dtest_se,train_loss_U,projection_rate,n_nonfinite
magic_lp,magic,lp,1e-05,reversible (no J),,reversible,0.7803685594111462,0.7806361724500525,0.0019281076982171884,0.7737960042060987,0.002279297553386694,0.0,0.0,0.0,0.0,7400.488455813928,0.0562,0
magic_lp,magic,lp,1e-05,"(0,0,0)","[0.0, 0.0, 0.0]",non-reversible,0.7803685594111462,0.7806361724500525,0.0019281076982171884,0.7737960042060987,0.002279297553386694,0.0,0.0,0.0,0.0,7400.488455813928,0.0562,0
magic_lp,magic,lp,1e-05,"(0.02,0.02,0.02)","[0.02, 0.02, 0.02]",non-reversible,0.7803617245005258,0.7806230283911673,0.001966626049655195,0.7737960042060987,0.0024130716598029403,-6.834910620390211e-06,1.2373114527600079e-05,4.440892098500626e-18,7.739012325909575e-05,7400.404855361398,0.0566,0
magic_lp,magic,lp,1e-05,"(0.05,0.05,0.05)","[0.05, 0.05, 0.05]",non-reversible,0.78036309148265,0.7805573080967403,0.0018900041501596898,0.7739011566771817,0.0024764374353667814,-5.467928496298846e-06,2.9046454966346013e-05,0.00010515247108308312,0.00013404362548877132,7400.3627785455565,0.05688,0
magic_lp,magic,lp,1e-05,"(0.1,0.1,0.1)","[0.1, 0.1, 0.1]",non-reversible,0.7803458464773922,0.7805336487907466,0.001952530665541272,0.7737854889589906,0.002489425994877679,-2.2712933753954446e-05,5.528008019913368e-05,-1.051524710830254e-05,0.0001451650079907391,7400.521851370053,0.0576,0
magic_lp,magic,lp,1e-05,"(0.25,0.25,0.25)","[0.25, 0.25, 0.25]",non-reversible,0.7802514195583597,0.780307570977918,0.0019473327286038621,0.773901156677182,0.0028363161402351266,-0.00011713985278651861,0.00010857789104012284,0.00010515247108307869,0.00022460577669078703,7402.68462044545,0.06212,0
magic_lp,magic,lp,1e-05,"(0.5,0.5,0.5)","[0.5, 0.5, 0.5]",non-reversible,0.7798608832807571,0.7795241850683492,0.002434482322886425,0.7736382754994743,0.0030562127506485073,-0.0005076761303890631,0.00015702710238329958,-0.00015772870662460027,0.0003860566206083173,7410.958308352383,0.07728,0
magic_lp,magic,lp,1e-05,"(1,1,1)","[1.0, 1.0, 1.0]",non-reversible,0.7772998948475289,0.7770136698212408,0.005169618682245062,0.7699684542586751,0.0058005274439534215,-0.0030686645636172336,0.0002948538586852352,-0.0038275499474237497,0.0010522999245502127,7455.853715151536,0.14096,0
magic_lp,magic,lp,1e-05,"(2,2,2)","[2.0, 2.0, 2.0]",non-reversible,0.7556713985278654,0.754731861198738,0.022336594931377504,0.7498527865404838,0.022658298900589013,-0.024697160883280788,0.0020027602365508454,-0.023943217665615118,0.004509540478430267,8148.250213726269,0.49008,0
magic_lp,magic,lp,1e-05,"(3,3,3)","[3.0, 3.0, 3.0]",non-reversible,0.6616348054679285,0.6319453207150367,0.0870591213539768,0.6348264984227129,0.08647130334086163,-0.11873375394321767,0.006673091006928482,-0.1389695057833859,0.01740208455884957,11876.284325039655,0.7938,0
