stage,exp,init,arm,eta,s,train,test,proj,nbad,d_train,t_train
search,titanic_ball,antimap,nrev,0.0001,b2_5,0.7983672752808988,0.8067388268156426,0.2770625,0,-0.00013167134831462007,-0.0907479473083158
search,titanic_ball,antimap,nrev,0.0001,gn1,0.7988939606741573,0.8063896648044693,0.2546875,0,0.00039501404494380124,0.5270637688132168
search,titanic_ball,antimap,nrev,0.0001,gn5,0.797752808988764,0.8070879888268156,0.281375,0,-0.0007461376404494444,-0.3713728093336555
search,titanic_ball,antimap,rev,0.0003,-,0.7991573033707865,0.8091829608938548,0.4561458333333333,0,,
search,titanic_ball,antimap,nrev,0.0003,u0.25,0.7988939606741573,0.8100558659217878,0.4576458333333333,0,-0.00026334269662919504,-0.5284688063445535
search,titanic_ball,antimap,nrev,0.0003,u1,0.7991573033707865,0.8084846368715084,0.46510416666666665,0,3.469446951953614e-18,3.760747683760699e-15
search,titanic_ball,antimap,nrev,0.0003,u2,0.7974455758426966,0.8058659217877095,0.4726666666666667,0,-0.0017117275280898805,-1.2215430707323491
search,titanic_ball,antimap,nrev,0.0003,u5,0.7943293539325843,0.8053421787709498,0.4923958333333333,0,-0.004827949438202236,-2.3393838209672437
search,titanic_ball,antimap,nrev,0.0003,b2_5,0.7939782303370787,0.8070879888268156,0.4871875,0,-0.005179073033707859,-2.9434793449853918
search,titanic_ball,antimap,nrev,0.0003,gn1,0.7983233848314606,0.808659217877095,0.463,0,-0.0008339185393258196,-0.8979566271185568
search,titanic_ball,antimap,nrev,0.0003,gn5,0.7954266151685394,0.8009776536312849,0.4815,0,-0.0037306882022471836,-1.8259796581414574
search,titanic_ball,ball_uniform,rev,1e-06,-,0.5597349016853933,0.5675628491620113,0.0,0,,
search,titanic_ball,ball_uniform,nrev,1e-06,u0.25,0.5597349016853932,0.5663407821229051,0.0,0,5.204170427930421e-18,6.0185714103103395e-15
search,titanic_ball,ball_uniform,nrev,1e-06,u1,0.559252106741573,0.5659916201117319,0.0,0,-0.00048279494382023024,-0.20831409922896588
search,titanic_ball,ball_uniform,nrev,1e-06,u2,0.5611393960674158,0.5630237430167597,0.0,0,0.0014044943820224753,0.5051178406291069
search,titanic_ball,ball_uniform,nrev,1e-06,u5,0.5708391853932584,0.571054469273743,0.0,0,0.011104283707865165,2.2809280870314743
search,titanic_ball,ball_uniform,nrev,1e-06,b2_5,0.5677229634831461,0.575768156424581,0.0,0,0.007988061797752802,1.9467746017745386
search,titanic_ball,ball_uniform,nrev,1e-06,gn1,0.5597787921348315,0.5661662011173185,0.0,0,4.389044943818761e-05,0.020061833967514806
search,titanic_ball,ball_uniform,nrev,1e-06,gn5,0.5727703651685394,0.5766410614525139,0.0,0,0.013035463483146067,2.244622859757472
search,titanic_ball,ball_uniform,rev,3e-06,-,0.6872366573033707,0.6951815642458101,0.0,0,,
search,titanic_ball,ball_uniform,nrev,3e-06,u0.25,0.6868855337078652,0.6948324022346368,0.0,0,-0.00035112359550560496,-0.3695455001105708
search,titanic_ball,ball_uniform,nrev,3e-06,u1,0.6864905196629214,0.6890712290502794,0.0,0,-0.000746137640449427,-0.37930349836396104
search,titanic_ball,ball_uniform,nrev,3e-06,u2,0.6875,0.6880237430167597,0.0,0,0.00026334269662922627,0.0637962578029835
