experiment,eta,s,rev_train,nrev_train,rev_test,nrev_test,rev_U,nrev_U,proj_nrev,d_train,se_train,t_train,win_train,d_test,se_test,t_test,win_test
magic_lp,3e-06,0.25,0.782636698212408,0.7827106335436383,0.7834647739221872,0.7834384858044163,7559.148972108817,7559.167542647374,0.0,7.393533123028483e-05,5.2628212085864196e-05,1.4048611628618042,0.6,-2.628811777076745e-05,6.967908990779205e-05,-0.3772741263635206,0.35
magic_lp,3e-06,1.0,0.782636698212408,0.7827681388012617,0.7834647739221872,0.7832873291272345,7559.148972108817,7558.976087891296,0.0,0.00013144058885384,0.00012161555975921615,1.0807875991696805,0.55,-0.00017744479495268028,0.00020262095016457488,-0.8757475217076726,0.325
magic_lp,3e-06,2.0,0.782636698212408,0.7828453601472135,0.7834647739221872,0.7833004731861198,7559.148972108817,7558.88800831044,0.0,0.00020866193480546802,0.00013793410675501624,1.5127653320441692,0.475,-0.00016430073606729656,0.00017296956086492314,-0.9498823680058001,0.4
magic_lp,3e-06,5.0,0.782636698212408,0.7792751051524711,0.7834647739221872,0.7797712933753943,7559.148972108817,7709.211144887226,0.019125,-0.0033615930599368987,0.003510459002633497,-0.9575935959984374,0.525,-0.0036934805467928487,0.0037433146245277205,-0.986687178948748,0.5
magic_lp,1e-06,0.0,0.7810413380651944,0.7810413380651944,0.7811908517350158,0.7811908517350158,7591.169162822519,7591.169162822519,0.0,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0
magic_lp,1e-06,0.25,0.7810413380651944,0.781245070977918,0.7811908517350158,0.7812105678233439,7591.169162822519,7590.681263457375,0.0,0.00020373291272345607,9.823719981285296e-05,2.0738876221184843,0.6,1.971608832807281e-05,0.00017212232648453724,0.11454695466159658,0.425
magic_lp,1e-06,1.0,0.7810413380651944,0.7811892087276551,0.7811908517350158,0.7815851735015773,7591.169162822519,7590.549891980855,0.0,0.00014787066246057523,0.00019539410671438962,0.756781588488336,0.5,0.000394321766561509,0.00028534478917201114,1.381913325649709,0.575
magic_lp,1e-06,2.0,0.7810413380651944,0.7814931650893795,0.7811908517350158,0.7815457413249212,7591.169162822519,7589.6151844733395,0.0,0.00045182702418507524,0.0002546661409043094,1.7741935483871367,0.55,0.00035488958990536056,0.0003324613550569474,1.0674611785919341,0.55
magic_lp,1e-06,5.0,0.7810413380651944,0.781677181913775,0.7811908517350158,0.7818809148264985,7591.169162822519,7585.739307151494,0.0,0.0006358438485804307,0.0003155380393246954,2.015109968805168,0.625,0.0006900630914826484,0.0003560283501497011,1.9382251194111197,0.475
titanic_ball,0.0001,0.0,0.8001755617977528,0.8001755617977528,0.8062849162011172,0.8062849162011172,383.4285169269257,383.4285169269257,0.28213333333333335,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0
titanic_ball,0.0001,0.25,0.8001755617977528,0.8001053370786517,0.8062849162011172,0.8062849162011172,383.4285169269257,383.41867965107093,0.2826166666666667,-7.02247191011196e-05,0.0006802035777729795,-0.10324073762010903,0.3,-8.326672684688674e-18,0.0006634313810003964,-1.2550917733395096e-14,0.15
