potential,mode,target_block,s,own_ratio,own_t,overall,bias_nrev,bias_rev,rhat,d_acc_pts,t_acc
lasso,block3,3,5.0,2.4730997889509005,15.732787539877448,1.3632815417101232,0.17948066722115474,0.1799684587178949,1.048103827269868,0.005159582608646809,0.7278678059235479
lasso,block3,3,10.0,4.026498993809592,16.44286511435363,1.6078809996898584,0.18488374272223354,0.1799684587178949,1.048103827269868,-0.008001193057468117,-1.1709248841993352
lasso,block3,3,20.0,6.879330658302393,18.245178779153825,1.9157893848041747,0.3591724895030604,0.1799684587178949,1.048103827269868,-0.11423343822852226,-10.573099150897558
lasso,uniform,0,1.0,,,1.2217708878634264,0.17824034051771118,0.1799684587178949,1.048178805682779,-0.0015639330234632626,-0.15619390532804156
lasso,uniform,0,2.0,,,1.551119323418828,0.17854243065873954,0.1799684587178949,1.048103827269868,-9.076397012135196e-05,-0.008235765014036745
lasso,uniform,0,5.0,,,2.490252002872147,0.18724491711103788,0.1799684587178949,1.048103827269868,-0.03805803085189137,-2.4774675270734994
lasso,uniform,0,10.0,,,4.155619513208307,0.6313444201370358,0.1799684587178949,1.048103827269868,-0.28257965725278533,-13.702745489007514
lasso,uniform,0,20.0,,,11.526357116714596,24.210690833800367,0.1799684587178949,1.048103827269868,-7.911116798988741,-280.11840447655214
graded,block1,1,1.0,1.0234001319959163,3.7210482696827567,1.0081485183162806,0.0565567090711692,0.05639223881175439,1.082061839703947,0.0019479344354932787,0.7273152430332205
graded,block1,1,2.0,1.0933608946168276,6.868173761930594,1.030937293727983,0.056357804838542774,0.05639223881175439,1.0824977042058015,0.004834926869413253,1.2181467913853836
graded,block1,1,5.0,1.424561046773903,12.465148626368142,1.1279964033490295,0.05644355324174302,0.05639223881175439,1.082555616336178,0.013492413249248728,2.150914421439996
graded,block1,1,10.0,1.9750614091700995,15.188781766212156,1.259162797117595,0.056345613105740246,0.05639223881175439,1.0819291542071792,0.010835821662531775,1.5304082724518409
